"Test","Mean difference","t-Statistic","CI Low","CI High","p-value","df","HT"
"Test Motivation Drop","0.0625","0.441552435684732","-0.177493974316516","Inf","0.3309389","31","greater"
"Test Motivation Drop Full Cases","0.307692307692308","2.3094010767585","0.0801087242332563","Inf","0.01473333","25","greater"
